번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),업무구분명,상세업무구분명,권리주체일련번호,총직원수
4609,동물병원,02_03_01_P,4470000,4.47E+17,20110429,,1,영업/정상,0,정상,,,,,873-9303,110,,충청북도 음성군 음성읍 읍내리 314-9,충청북도 음성군 음성읍 시장로 99,,음성축산업협동조합 동물병원,2.02E+13,U,2022-10-20 2:40,,261585.1626,381860.5808,동물병원,,L00,0
4610,동물병원,02_03_01_P,4400000,4.40E+17,19900110,,1,영업/정상,0,정상,,,,,043-647-6100,0,,충청북도 제천시 중앙로2가 27-10번지 9통3반,충청북도 제천시 의림대로15길 24 (중앙로2가),27169,진주동물병원,2.02E+13,I,2018-08-31 23:59,,307432.5986,404885.9124,동물병원,,0,
4611,동물병원,02_03_01_P,3010000,3.01E+17,19920212,,1,영업/정상,0,정상,,,,,2237-3366,306,,서울특별시 중구 신당동 336-3 명덕빌딩,"서울특별시 중구 다산로 175, 명덕빌딩 (신당동)",4608,바우미우동물병원,2.02E+13,U,2022-07-07 2:40,,201064.9637,450779.721,동물병원,,0,0
4612,동물병원,02_03_01_P,3010000,3.01E+17,19950512,,1,영업/정상,0,정상,,,,,2278-0075,0,,서울특별시 중구 묵정동 32-1,서울특별시 중구 퇴계로 254-1 (묵정동),4619,황동물병원,2.02E+13,U,2022-07-07 2:40,,199930.8583,451121.3448,동물병원,,0,0
4613,동물병원,02_03_01_P,3070000,3.07E+17,20000801,,1,영업/정상,0,정상,,,,,928-5599,0,,서울특별시 성북구 보문동2가 49번지,서울특별시 성북구 보문로 137 (보문동2가),2871,서울종합동물병원,2.02E+13,U,2019-04-26 2:40,,201537.5976,453866.557,동물병원,,0,
4614,동물병원,02_03_01_P,3070000,3.07E+17,20010507,,1,영업/정상,0,정상,,,,,918-3344,42,,서울특별시 성북구 장위동 8-2 석계역 한일노벨리아시티 210호,"서울특별시 성북구 화랑로 299, 2층 210호 (장위동, 석계역 한일노벨리아시티)",2779,대학동물병원,2.02E+13,U,2021-02-19 2:40,,205327.0478,456807.4625,동물병원,,0,
4615,동물병원,02_03_01_P,3070000,3.07E+17,20010412,,1,영업/정상,0,정상,,,,,924-4555,0,,서울특별시 성북구 종암동 19-1번지,서울특별시 성북구 종암로 65 (종암동),2810,강북동물병원,2.01E+13,I,2018-08-31 23:59,,203035.964,454877.3496,동물병원,,0,
4616,동물병원,02_03_01_P,3110000,3.11E+17,20140521,,1,영업/정상,0,정상,,,,,02-969-7582,40.2,,서울특별시 은평구 응암동 194-23,서울특별시 은평구 백련산로 145 (응암동),3463,스머프동물병원,2.02E+13,U,2021-07-21 2:40,,193315.1172,455100.9551,동물병원,,0,0
4617,동물병원,02_03_01_P,3110000,3.11E+17,20140901,,1,영업/정상,0,정상,,,,,02-356-8353,0,,서울특별시 은평구 불광동 554-1번지 1층,"서울특별시 은평구 불광로 60, 1층 (불광동)",3365,다루동물병원,2.02E+13,U,2019-03-08 2:40,,193936.1257,456673.8056,동물병원,,0,
4618,동물병원,02_03_01_P,3110000,3.11E+17,20150102,,1,영업/정상,0,정상,,,,,02-388-0275,0,,서울특별시 은평구 역촌동 51-22번지,서울특별시 은평구 역말로 7 (역촌동),3415,도담동물병원,2.02E+13,U,2019-03-08 2:40,,192084.6798,455936.9704,동물병원,,0,
